Background	Bacteria	Rep	Length_cm
Non RGI treatment	Bradyrhizobium japonicum	Rep1	5.8579602739726
Non RGI treatment	Bradyrhizobium japonicum	Rep1	7.10327260273973
Non RGI treatment	Bradyrhizobium japonicum	Rep1	6.54452876712329
Non RGI treatment	Bradyrhizobium japonicum	Rep1	5.83485205479452
Non RGI treatment	Bradyrhizobium japonicum	Rep1	5.11378356164384
Non RGI treatment	Bradyrhizobium japonicum	Rep1	4.89874109589041
Non RGI treatment	Bradyrhizobium japonicum	Rep1	5.91789863013699
Non RGI treatment	Bradyrhizobium japonicum	Rep1	4.70424246575342
Non RGI treatment	Bradyrhizobium japonicum	Rep1	6.45062465753425
Non RGI treatment	Enterobacter soli	Rep1	4.70148493150685
Non RGI treatment	Enterobacter soli	Rep1	4.60461780821918
Non RGI treatment	Enterobacter soli	Rep1	5.32602739726027
Non RGI treatment	Enterobacter soli	Rep1	4.9972602739726
Non RGI treatment	Enterobacter soli	Rep1	5.03013698630137
Non RGI treatment	Enterobacter soli	Rep1	3.94862876712329
Non RGI treatment	Enterobacter soli	Rep1	5.10267534246575
Non RGI treatment	Enterobacter soli	Rep1	3.52532876712329
Non RGI treatment	Enterobacter soli	Rep1	3.16454383561644
Non RGI treatment	Enterobacter soli	Rep1	3.88167945205479
Non RGI treatment	Enterobacter soli	Rep1	4.51860410958904
Non RGI treatment	Enterobacter soli	Rep1	4.68005342465753
Non RGI treatment	Parabukholderia PsJN	Rep1	5.31922602739726
Non RGI treatment	Parabukholderia PsJN	Rep1	6.62651506849315
Non RGI treatment	Parabukholderia PsJN	Rep1	5.40179589041096
Non RGI treatment	Parabukholderia PsJN	Rep1	4.40413150684931
Non RGI treatment	Parabukholderia PsJN	Rep1	5.61191095890411
Non RGI treatment	Parabukholderia PsJN	Rep1	3.88835753424658
Non RGI treatment	Parabukholderia PsJN	Rep1	5.06301369863014
Non RGI treatment	Parabukholderia PsJN	Rep1	5.92693561643836
Non RGI treatment	Parabukholderia PsJN	Rep1	5.85353424657534
Non RGI treatment	Parabukholderia PsJN	Rep1	4.24428082191781
Non RGI treatment	Parabukholderia PsJN	Rep1	6.05654794520548
Non RGI treatment	Parabukholderia PsJN	Rep1	4.59639452054794
Non RGI treatment	Parabukholderia PsJN	Rep1	5.17429726027397
Non RGI treatment	Parabukholderia PsJN	Rep1	4.12848082191781
Non RGI treatment	Parabukholderia PsJN	Rep1	3.85008493150685
Non RGI treatment	Acinetobacter CL69	Rep1	0.789727397260274
Non RGI treatment	Acinetobacter CL69	Rep1	1.15068493150685
Non RGI treatment	Acinetobacter CL69	Rep1	1.00851780821918
Non RGI treatment	Acinetobacter CL69	Rep1	0.921135616438356
Non RGI treatment	Acinetobacter CL69	Rep1	1.09731369863014
Non RGI treatment	Acinetobacter CL69	Rep1	0.789727397260274
Non RGI treatment	Acinetobacter CL69	Rep1	1.34834794520548
Non RGI treatment	Acinetobacter CL69	Rep1	1.10271780821918
Non RGI treatment	Acinetobacter CL69	Rep1	1.21688219178082
Non RGI treatment	Acinetobacter CL69	Rep1	0.980806849315069
Non RGI treatment	Acinetobacter CL69	Rep1	1.9563698630137
Non RGI treatment	Acinetobacter CL69	Rep1	1.45996438356164
Non RGI treatment	Acinetobacter CL69	Rep1	1.77655890410959
Non RGI treatment	Acinetobacter CL69	Rep1	1.50265068493151
Non RGI treatment	Acinetobacter CL69	Rep1	0.838195890410959
Non RGI treatment	Acinetobacter CL71	Rep1	4.98003698630137
Non RGI treatment	Acinetobacter CL71	Rep1	4.89068219178082
Non RGI treatment	Acinetobacter CL71	Rep1	6.12998630136986
Non RGI treatment	Acinetobacter CL71	Rep1	4.73527397260274
Non RGI treatment	Acinetobacter CL71	Rep1	5.82066575342466
Non RGI treatment	Acinetobacter CL71	Rep1	6.27454520547945
Non RGI treatment	Acinetobacter CL71	Rep1	5.39148082191781
Non RGI treatment	Acinetobacter CL71	Rep1	5.00255753424658
Non RGI treatment	Acinetobacter CL71	Rep1	5.44702602739726
Non RGI treatment	Acinetobacter CL71	Rep1	6.06011506849315
Non RGI treatment	Acinetobacter CL71	Rep1	5.86764246575342
Non RGI treatment	Acinetobacter CL71	Rep1	5.56092739726027
Non RGI treatment	Acinetobacter CL71	Rep1	4.97525753424658
Non RGI treatment	Acinetobacter CL71	Rep1	5.08102191780822
Non RGI treatment	Acinetobacter CL71	Rep1	4.44431917808219
Non RGI treatment	Acinetobacter CL71	Rep1	6.08787534246575
Non RGI treatment	Acinetobacter CL71	Rep1	3.63789452054795
Non RGI treatment	Acinetobacter CL71	Rep1	6.18641506849315
Non RGI treatment	Acinetobacter CL71	Rep1	5.45842602739726
IAA	NB	Rep1	0.23013698630137
IAA	NB	Rep1	0.147028767123288
IAA	NB	Rep1	0.295890410958904
IAA	NB	Rep1	0.164383561643836
IAA	NB	Rep1	0.135554794520548
IAA	NB	Rep1	0.167638356164384
IAA	NB	Rep1	0.363135616438356
IAA	NB	Rep1	0.191704109589041
IAA	NB	Rep1	0.131506849315068
IAA	NB	Rep1	0.197260273972603
IAA	NB	Rep1	0.232475342465753
IAA	NB	Rep1	0.617695890410959
IAA	NB	Rep1	0.464946575342466
IAA	NB	Rep1	0.103964383561644
IAA	NB	Rep1	0.237078082191781
IAA	NB	Rep1	0.135554794520548
IAA	NB	Rep1	0.657534246575342
IAA	NB	Rep1	0.310158904109589
IAA	NB	Rep1	0.135554794520548
IAA	Variovorax CL14	Rep1	5.51555342465753
IAA	Variovorax CL14	Rep1	3.38693835616438
IAA	Variovorax CL14	Rep1	4.14715890410959
IAA	Variovorax CL14	Rep1	3.6612904109589
IAA	Variovorax CL14	Rep1	2.61054246575342
IAA	Variovorax CL14	Rep1	3.32201095890411
IAA	Variovorax CL14	Rep1	5.07165205479452
IAA	Variovorax CL14	Rep1	3.02751369863014
IAA	Variovorax CL14	Rep1	2.53917945205479
IAA	Variovorax CL14	Rep1	3.69157397260274
IAA	Variovorax CL14	Rep1	2.82816164383562
IAA	Variovorax CL14	Rep1	4.16445616438356
IAA	Variovorax CL14	Rep1	3.09058767123288
IAA	Variovorax CL14 Delta6869	Rep1	0.197260273972603
IAA	Variovorax CL14 Delta6869	Rep1	0.131506849315068
IAA	Variovorax CL14 Delta6869	Rep1	0.237078082191781
IAA	Variovorax CL14 Delta6869	Rep1	0.0657534246575342
