Treatment	Background	Length_cm
NB	NB	1.84795281081234
NB	NB	6.29234275169054
NB	CL28	1.33627708974073
NB	CL28	0.257952223019572
NB	CL28	1.32359091483813
CL14	CL28	6.7363588732816
CL14	CL28	4.56702296493668
CL14	CL28	1.17981426594198
Δ68-69	CL28	1.37433561444854
Δ68-69	CL28	0.69351089467557
Δ68-69	CL28	0.51167572107161
Δ68-70	CL28	1.02758016711075
Δ68-70	CL28	0.706197069578172
Δ68-70	CL28	0.782314118993783
ΔHS33	CL28	1.84372408584481
ΔHS33	CL28	2.54992115542298
ΔHS33	CL28	1.67457508714345
ΔHS33 pBBR1:68-69	CL28	0.854202443441861
ΔHS33 pBBR1:68-69	CL28	1.61537293759797
ΔHS33 pBBR1:68-69	CL28	0.20297879844163
ΔHS33 pBBR1:68-70	CL28	7.31992291880129
ΔHS33 pBBR1:68-70	CL28	6.88436424714529
ΔHS33 pBBR1:68-70	CL28	4.51627826532627
NB	NB	7.594790041691
NB	NB	3.96654401954686
NB	NB	6.6856141736712
NB	CL28	1.02758016711075
NB	CL28	0.790771568928851
NB	CL28	0.841516268539259
CL14	CL28	4.4570761157808
CL14	CL28	2.17779335827999
CL14	CL28	5.90330005467741
Δ68-69	CL28	0.862659893376929
Δ68-69	CL28	0.51167572107161
Δ68-69	CL28	0.913404592987336
Δ68-70	CL28	1.43776648896155
Δ68-70	CL28	1.52234098831223
Δ68-70	CL28	1.34050581470827
ΔHS33	CL28	0.799229018863919
ΔHS33	CL28	2.0297879844163
ΔHS33	CL28	1.09946849155883
ΔHS33 pBBR1:68-69	CL28	1.09101104162376
ΔHS33 pBBR1:68-69	CL28	8.2798434864315
ΔHS33 pBBR1:68-69	CL28	3.17577245061801
ΔHS33 pBBR1:68-70	CL28	1.40816541418881
ΔHS33 pBBR1:68-70	CL28	2.24545295776053
ΔHS33 pBBR1:68-70	CL28	2.38500088168916
NB	IAA	0.342526722370251
NB	IAA	0.562420420682017
NB	IAA	0.596250220422289
CL14	IAA	5.64957655662538
CL14	IAA	2.36808598181902
CL14	IAA	3.16731500068294
Δ68-69	IAA	0.190292623539028
Δ68-69	IAA	0.321383097532581
Δ68-69	IAA	0.367899072175455
Δ68-70	IAA	0.596250220422289
Δ68-70	IAA	0.241037323149436
Δ68-70	IAA	0.211436248376698
ΔHS33	IAA	0.372127797142989
ΔHS33	IAA	0.308696922629979
ΔHS33	IAA	0.28755329779231
ΔHS33 pBBR1:68-69	IAA	6.35577362620355
ΔHS33 pBBR1:68-69	IAA	6.03016180370343
ΔHS33 pBBR1:68-69	IAA	5.54808715740456
ΔHS33 pBBR1:68-70	IAA	7.82314118993783
ΔHS33 pBBR1:68-70	IAA	7.46369956769745
ΔHS33 pBBR1:68-70	IAA	7.76393904039236
NB	NB	7.47638574260005
NB	NB	7.51021554234032
NB	NB	6.95202384662584
NB	CL28	0.524361895974212
NB	CL28	0.321383097532581
NB	CL28	0.613165120292425
CL14	CL28	6.9604812965609
CL14	CL28	7.95846038889892
CL14	CL28	7.25649204428828
Δ68-69	CL28	1.08678231665623
Δ68-69	CL28	0.329840547467649
Δ68-69	CL28	0.329840547467649
Δ68-70	CL28	0.194521348506562
Δ68-70	CL28	0
Δ68-70	CL28	0.854202443441861
ΔHS33	CL28	0.460931021461202
ΔHS33	CL28	0.879574793247065
ΔHS33	CL28	4.4697622906834
ΔHS33 pBBR1:68-69	CL28	0.101489399220815
ΔHS33 pBBR1:68-69	CL28	0.169148998701359
ΔHS33 pBBR1:68-69	CL28	0.630080020162561
ΔHS33 pBBR1:68-70	CL28	7.16768881997007
ΔHS33 pBBR1:68-70	CL28	7.97960401373659
ΔHS33 pBBR1:68-70	CL28	7.05351324584665
NB	IAA	0.20297879844163
NB	IAA	0.676595994805434
NB	IAA	0.325611822500115
CL14	IAA	4.34712926662491
CL14	IAA	0.0761170494156114
CL14	IAA	5.69186380630072
Δ68-69	IAA	0
Δ68-69	IAA	0.638537470097629
Δ68-69	IAA	0.389042697013125
Δ68-70	IAA	0
Δ68-70	IAA	0.207207523409164
Δ68-70	IAA	0.367899072175455
ΔHS33	IAA	0.0888032243182132
ΔHS33	IAA	0.0845744993506793
ΔHS33	IAA	0.253723498052038
ΔHS33 pBBR1:68-69	IAA	3.94117166974165
ΔHS33 pBBR1:68-69	IAA	7.594790041691
ΔHS33 pBBR1:68-69	IAA	3.73396414633249
ΔHS33 pBBR1:68-70	IAA	4.71502833880037
ΔHS33 pBBR1:68-70	IAA	4.44016121591066
ΔHS33 pBBR1:68-70	IAA	2.53723498052038
NB	NB	3.72127797142989
NB	NB	7.67513581607414
NB	NB	7.06619942074925
NB	CL28	1.03180889207829
NB	CL28	1.08678231665623
NB	CL28	1.3320483647732
CL14	CL28	5.02372526143035
CL14	CL28	4.98989546169008
CL14	CL28	0.186063898571494
Δ68-69	CL28	1.50542608844209
Δ68-69	CL28	1.48005373863689
Δ68-69	CL28	1.24747386542252
Δ68-70	CL28	1.28553239013033
Δ68-70	CL28	0.968378017565278
Δ68-70	CL28	0.608936395324891
ΔHS33	CL28	1.17981426594198
ΔHS33	CL28	2.22430933292287
ΔHS33	CL28	1.02335144214322
ΔHS33 pBBR1:68-69	CL28	0.389042697013125
ΔHS33 pBBR1:68-69	CL28	1.53502716321483
ΔHS33 pBBR1:68-69	CL28	0.972606742532812
ΔHS33 pBBR1:68-70	CL28	6.19085335246972
ΔHS33 pBBR1:68-70	CL28	7.69205071594428
ΔHS33 pBBR1:68-70	CL28	7.07888559565186
NB	NB	7.41718359305457
NB	NB	7.32415164376883
NB	NB	8.41516268539259
NB	CL28	0.680824719772968
NB	CL28	0.2241224232793
NB	CL28	1.39125051431867
CL14	CL28	7.48484319253512
CL14	CL28	2.4272881313645
CL14	CL28	3.17154372565047
Δ68-69	CL28	0.803457743831453
Δ68-69	CL28	0.824601368669123
Δ68-69	CL28	0.676595994805434
Δ68-70	CL28	0.257952223019572
Δ68-70	CL28	2.15242100847479
Δ68-70	CL28	1.51811226334469
ΔHS33	CL28	0.816143918734055
ΔHS33	CL28	1.16712809103937
ΔHS33	CL28	1.38279306438361
ΔHS33 pBBR1:68-69	CL28	0.761170494156113
ΔHS33 pBBR1:68-69	CL28	8.2417849617237
ΔHS33 pBBR1:68-69	CL28	0.951463117695142
ΔHS33 pBBR1:68-70	CL28	1.02758016711075
ΔHS33 pBBR1:68-70	CL28	2.38500088168916
ΔHS33 pBBR1:68-70	CL28	2.15242100847479
NB	IAA	0.833058818604191
NB	IAA	0.769627944091181
NB	IAA	0.638537470097629
CL14	IAA	7.15500264506747
CL14	IAA	4.79114538821598
CL14	IAA	3.90311314503385
Δ68-69	IAA	0.143776648896155
Δ68-69	IAA	0.194521348506562
Δ68-69	IAA	0.308696922629979
Δ68-70	IAA	0.253723498052038
Δ68-70	IAA	0.583564045519687
Δ68-70	IAA	0.744255594285978
ΔHS33	IAA	0.951463117695142
ΔHS33	IAA	0.363670347207921
ΔHS33	IAA	0.604707670357357
ΔHS33 pBBR1:68-69	IAA	4.61776766454709
ΔHS33 pBBR1:68-69	IAA	6.12319375298918
ΔHS33 pBBR1:68-69	IAA	6.74904504818421
ΔHS33 pBBR1:68-70	IAA	7.73433796561962
ΔHS33 pBBR1:68-70	IAA	7.76816776535989
ΔHS33 pBBR1:68-70	IAA	7.09157177055446
NB	NB	7.46792829266498
NB	NB	7.01545472113885
NB	NB	6.70675779850887
NB	CL28	0.520133171006678
NB	CL28	0.376356522110523
NB	CL28	0.617393845259959
CL14	CL28	7.68359326600921
CL14	CL28	6.87167807224269
CL14	CL28	8.12760938760028
Δ68-69	CL28	0.934548217825006
Δ68-69	CL28	0
Δ68-69	CL28	0.69351089467557
Δ68-70	CL28	1.41239413915634
Δ68-70	CL28	0.473617196363804
