IndexImageJ,Area,Mean,Min,Max,Angle,Length_Pixel,Treatment
571,723,71.469,67.645,91.407,-94.447,722.174,SC175_Brady
572,620,74.113,68.416,93.838,-95.194,618.54,SC175_Brady
573,521,71.453,7.574,95.503,-90.881,520.062,SC175_Brady
574,699,79.444,15.982,106.161,-93.945,697.653,SC175_Brady
575,574,72.551,67.451,108.408,-105.396,572.545,SC175_Brady
576,858,70.577,66.506,116.924,-92.141,856.598,SC175_Brady
577,524,72.052,67.373,104.659,-96.147,523.007,SC175_Brady
578,718,75.745,65.186,114.385,-100.934,717.016,SC175_Brady
656,210,75.455,23.977,97.913,-85.601,208.614,SC175_Esoli
657,339,81.406,71.649,106.398,-84.56,337.52,SC175_Esoli
658,316,77.314,7.13,96.4,-97.306,314.554,SC175_Esoli
659,323,78.616,30.07,105.034,-95.711,321.596,SC175_Esoli
660,242,74.977,44.667,99.599,-86.186,240.533,SC175_Esoli
661,242,80.382,44.212,108.259,-86.186,240.533,SC175_Esoli
662,297,78.77,19.333,105.3,-71.075,296,SC175_Esoli
663,331,71.152,6.364,100.533,-83.047,330.43,SC175_Esoli
664,267,77.168,70.333,100.665,-74.291,265.932,SC175_Esoli
665,352,75.146,70.67,96.729,-78.179,351.454,SC175_Esoli
666,321,74.947,22.761,103.907,-121.701,319.7,SC175_Esoli
667,282,75.881,30.67,94.809,-94.899,281.027,SC175_Esoli
668,241,71.846,24,97.667,-91.909,240.133,SC175_Esoli
669,201,73.66,69.667,101.667,-90,200,SC175_Esoli
670,329,84.445,71.48,133.764,-91.397,328.098,SC175_Esoli
671,460,85.536,37.502,117.172,-97.001,459.426,SC175_Esoli
672,217,74.238,70.333,99.333,-90,216,SC175_Paraburk
673,322,73.534,24.874,98.307,-94.289,320.899,SC175_Paraburk
674,358,82.676,72.449,103.914,-105.593,357.144,SC175_Paraburk
675,409,76.144,71,103.333,-90,408,SC175_Paraburk
676,235,72.312,24.996,77.621,-97.853,234.196,SC175_Paraburk
677,401,80.646,74.88,101.213,-87.709,400.32,SC175_Paraburk
678,467,76.915,71.963,103.219,-85.073,465.721,SC175_Paraburk
679,450,79.813,72.156,104.351,-93.066,448.642,SC175_Paraburk
680,488,77.361,22,108.408,-80.538,486.621,SC175_Paraburk
681,346,81.391,70.179,105.904,-103.392,345.393,SC175_Paraburk
682,322,73.624,70.057,92.177,-85.711,320.899,SC175_Paraburk
683,225,73.558,70.333,85.321,-92.045,224.143,SC175_Paraburk
684,386,74.536,15.667,98.652,-94.764,385.331,SC175_Paraburk
685,409,75.243,70.894,97.956,-101.31,407.922,SC175_Paraburk
686,306,84.89,16.334,105.737,-103.671,304.631,SC175_Paraburk
687,293,72.47,18.718,88.773,-99.462,291.973,SC175_Paraburk
688,440,77.313,23.612,111.726,-100.491,439.345,SC175_AcineCL69
689,410,79.499,75,104.344,-86.634,408.705,SC175_AcineCL69
690,418,76.657,74.325,98.051,-94.399,417.229,SC175_AcineCL69
691,235,72.223,9.334,102.559,-97.853,234.196,SC175_AcineCL69
692,145,73.881,68.667,98.333,-93.18,144.222,SC175_AcineCL69
693,361,85.144,71.274,106.378,-88.727,360.089,SC175_AcineCL69
694,305,78.134,14.333,102.667,-90,304,SC175_AcineCL69
695,314,77.981,73.333,101.396,-85.601,312.922,SC175_AcineCL69
696,281,76.375,23.667,102.571,-86.73,280.457,SC175_AcineCL69
697,473,79.335,20.333,120,-90,472,SC175_AcineCL69
698,377,78.58,26.546,109.44,-87.563,376.34,SC175_AcineCL69
